Date,Open,High,Low,Close,Volume,Adj Close
2016-06-29,58.259998,59.98,57.990002,58.599998,23200,57.96795
2016-06-28,58.09,59.25,57.400002,57.75,32700,57.127119
2016-06-27,57.349998,57.849998,55.540001,57.32,36800,56.701757
2016-06-24,59.150002,59.84,57.189999,58.59,112600,57.958059
2016-06-23,62.700001,62.700001,61.580002,61.91,48700,61.24225
2016-06-22,64.25,64.25,62.25,62.700001,72000,62.02373
2016-06-21,62.91,64.57,62.869999,63.889999,63300,63.200893
2016-06-20,62.18,62.990002,61.919998,62.759998,55700,62.08308
2016-06-17,60.240002,61.98,60.029999,61.98,71600,61.311495
2016-06-16,60.150002,60.73,59.689999,60.060001,11400,59.412205
2016-06-15,60.560001,60.700001,59.790001,60.369999,14800,59.718859
2016-06-14,60.43,60.57,59.369999,60.490002,20300,59.837568
2016-06-13,60.380001,60.66,60.23,60.23,13700,59.58037
2016-06-10,60.209999,60.68,60.209999,60.360001,10900,59.708969
2016-06-09,60.150002,60.740002,60.150002,60.50,18300,59.847458
2016-06-08,60.00,60.740002,59.450001,60.66,31400,60.005732
2016-06-07,60.169998,60.169998,59.619999,59.639999,15600,58.996733
2016-06-06,59.50,60.299999,59.310001,59.84,38300,59.194577
2016-06-03,59.50,59.50,59.110001,59.419998,13000,58.779105
2016-06-02,59.169998,59.50,58.98,59.50,22500,58.858244
2016-06-01,58.880001,59.00,57.810001,58.990002,36000,58.353746
2016-05-31,58.790001,58.790001,57.799999,58.740002,70700,58.106443
2016-05-27,57.799999,58.619999,56.98,58.59,24800,57.958059
2016-05-26,57.610001,58.389999,57.00,58.060001,26000,57.433777
2016-05-25,57.599998,58.50,57.450001,57.860001,7200,57.235933
2016-05-24,56.52,58.650002,54.299999,57.860001,13700,57.235933
2016-05-23,56.540001,58.029999,56.00,56.02,15200,55.415779
2016-05-20,56.299999,57.689999,55.950001,56.490002,16300,55.880711
2016-05-19,56.759998,58.049999,55.68,56.310001,22600,55.702652
2016-05-18,57.560001,58.349998,56.490002,57.060001,12500,56.444563
2016-05-17,58.099998,58.59,57.049999,57.330002,14200,56.711651
2016-05-16,56.34,58.66,56.34,58.299999,18700,57.671186
2016-05-13,55.59,56.990002,55.59,56.970001,19700,56.355533
2016-05-12,55.639999,56.459999,55.400002,55.43,9900,54.832142
2016-05-11,55.119999,56.349998,54.68,55.25,8000,54.654084
2016-05-10,55.900002,56.779999,54.75,55.52,20600,54.921172
2016-05-09,55.200001,56.130001,55.200001,55.98,4800,55.376209
2016-05-06,55.209999,55.689999,55.029999,55.32,5800,54.723328
2016-05-05,55.00,55.93,55.00,55.07,6000,54.476025
2016-05-04,54.91,55.02,54.25,54.779999,12000,54.189152
2016-05-03,55.279999,56.52,55.009998,55.299999,14300,54.703544
2016-05-02,56.759998,56.990002,55.549999,55.889999,18000,55.28718
2016-04-29,55.799999,57.00,55.330002,56.290001,13300,55.682867
2016-04-28,55.50,56.459999,54.830002,55.599998,12100,55.000307
2016-04-27,54.759998,56.00,54.25,55.950001,56300,55.346534
2016-04-26,54.900002,55.50,54.419998,55.049999,32200,54.45624
2016-04-25,56.200001,56.360001,54.59,54.75,18800,54.159476
2016-04-22,56.25,56.740002,56.25,56.66,8000,56.048875
2016-04-21,57.389999,57.389999,56.450001,56.75,9400,56.137905
2016-04-20,57.990002,57.990002,57.27,57.369999,11300,56.751217
2016-04-19,57.77,58.00,57.150002,57.709999,23500,57.08755
2016-04-18,56.799999,57.950001,56.700001,57.02,27200,56.404993
2016-04-15,57.02,57.380001,56.419998,56.450001,13000,55.841141
2016-04-14,57.099998,57.240002,56.419998,56.990002,13800,56.375318
2016-04-13,56.25,57.279999,55.779999,56.939999,43100,56.325854
2016-04-12,54.810001,56.790001,54.68,56.73,25100,56.11812
2016-04-11,53.48,54.849998,53.349998,54.849998,11200,54.258396
2016-04-08,52.50,53.130001,51.540001,53.130001,32200,52.556951
2016-04-07,51.990002,52.75,51.700001,52.110001,12000,51.547952
2016-04-06,51.630001,52.41,51.549999,52.299999,6900,51.735901
2016-04-05,52.360001,52.880001,51.200001,51.50,27300,50.94453
2016-04-04,52.68,53.099998,52.02,52.18,19500,51.617196
